CVE ID,Description,Published Date,Last Modified Date
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,1993-02-03T05:00:00.000,2017-10-10T01:29:06.547
CVE-1999-1218,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,1993-02-18T05:00:00.000,2017-12-19T02:29:03.817
CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",1993-02-24T05:00:00.000,2017-12-19T02:29:07.660
CVE-1999-1216,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",1993-04-22T04:00:00.000,2017-12-19T02:29:03.753
CVE-1999-1162,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,1993-05-24T04:00:00.000,2008-09-05T20:18:52.117
CVE-1999-0124,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,1993-08-09T04:00:00.000,2022-08-17T07:15:11.470
CVE-1999-1215,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",1993-09-16T04:00:00.000,2017-10-10T01:29:04.357
CVE-1999-1138,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",1993-09-17T04:00:00.000,2017-10-10T01:29:02.797
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",1993-09-17T04:00:00.000,2018-10-30T16:26:22.043
CVE-1999-0145,"Sendmail WIZ command enabled, allowing root access.",1993-09-30T04:00:00.000,2019-06-11T20:29:00.417
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",1993-10-01T04:00:00.000,2018-10-30T16:25:11.980
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",1993-12-16T05:00:00.000,2022-08-17T08:15:09.860
CVE-1999-0181,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",1994-01-01T05:00:00.000,2022-08-17T07:15:13.373
CVE-1999-1242,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,1994-02-07T05:00:00.000,2017-12-19T02:29:05.097
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,1994-02-14T05:00:00.000,2024-02-22T02:15:49.030
CVE-1999-0338,AIX Licensed Program Product performance tools allow local users to gain root access.,1994-02-24T05:00:00.000,2022-08-17T08:15:10.040
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,1994-03-21T05:00:00.000,2018-10-30T16:25:25.357
CVE-1999-1135,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",1994-04-20T04:00:00.000,2017-12-19T02:29:02.597
CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,1994-05-04T04:00:00.000,2017-10-10T01:29:03.107
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,1994-05-13T04:00:00.000,2008-09-05T20:19:24.197
CVE-1999-1134,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",1994-05-18T04:00:00.000,2008-09-10T19:01:10.243
CVE-1999-0113,Some implementations of rlogin allow root access if given a -froot parameter.,1994-05-23T04:00:00.000,2024-02-13T17:55:39.687
CVE-1999-0423,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,1994-06-01T04:00:00.000,2008-09-09T12:34:31.210
CVE-1999-0337,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,1994-06-03T04:00:00.000,2022-08-17T08:15:09.973
CVE-1999-0207,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",1994-06-09T04:00:00.000,2022-08-17T07:15:13.927
CVE-1999-1239,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",1994-07-13T04:00:00.000,2017-12-19T02:29:04.893
CVE-1999-1552,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",1994-07-20T04:00:00.000,2008-09-10T19:02:10.163
CVE-1999-1494,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",1994-08-09T04:00:00.000,2017-10-10T01:29:06.467
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",1994-08-11T04:00:00.000,2018-05-03T01:29:05.193
CVE-1999-1238,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,1994-09-21T04:00:00.000,2017-12-19T02:29:04.830
CVE-1999-1022,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",1994-10-02T04:00:00.000,2017-12-19T02:29:01.097
CVE-1999-1310,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,1994-11-04T05:00:00.000,2023-11-07T01:55:08.250
CVE-1999-1248,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,1994-11-30T05:00:00.000,2017-12-19T02:29:05.427
CVE-1999-1302,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,2017-07-11T01:29:01.070
CVE-1999-1303,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,2011-03-08T02:01:55.033
CVE-1999-1304,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,1994-11-30T05:00:00.000,2011-03-08T02:01:55.110
CVE-1999-1305,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",1994-11-30T05:00:00.000,2011-03-08T02:01:55.187
CVE-2000-0508,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,1994-12-19T05:00:00.000,2017-10-10T01:29:09.873
CVE-1999-0077,Predictable TCP sequence numbers allow spoofing.,1995-01-01T05:00:00.000,2017-10-10T01:29:00.310
CVE-1999-0232,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,1995-02-01T05:00:00.000,2022-08-17T10:15:12.087
CVE-1999-0235,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,1995-02-17T05:00:00.000,2022-08-17T07:15:14.467
CVE-1999-0242,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,1995-03-01T05:00:00.000,2022-08-17T07:15:14.773
CVE-1999-1098,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,1995-03-03T05:00:00.000,2008-09-05T20:18:43.087
CVE-1999-1243,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,1995-03-03T05:00:00.000,2017-10-10T01:29:04.687
CVE-1999-0151,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",1995-04-03T04:00:00.000,2022-08-17T07:15:12.263
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",1995-05-10T04:00:00.000,2018-05-03T01:29:04.613
CVE-1999-0066,AnyForm CGI remote execution.,1995-07-31T04:00:00.000,2024-08-01T21:35:07.360
CVE-1999-0161,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",1995-07-31T04:00:00.000,2008-09-09T12:33:53.290
CVE-1999-0172,FormMail CGI program allows remote execution of commands.,1995-08-02T04:00:00.000,2022-08-17T07:15:13.007
CVE-1999-0203,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",1995-08-17T04:00:00.000,2022-08-17T07:15:13.717
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",1995-08-23T04:00:00.000,2008-09-05T20:19:51.897
CVE-1999-0164,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,1995-08-29T04:00:00.000,2008-09-09T12:33:53.493
CVE-1999-0155,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,1995-08-31T04:00:00.000,2022-08-17T07:15:12.513
CVE-1999-0245,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",1995-09-07T04:00:00.000,2022-08-17T07:15:14.897
CVE-1999-0218,Livingston portmaster machines could be rebooted via a series of commands.,1995-10-01T04:00:00.000,2022-08-17T07:15:14.157
CVE-1999-0073,"Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",1995-10-13T04:00:00.000,2022-08-17T07:15:10.250
CVE-1999-0099,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,1995-10-19T04:00:00.000,2022-08-17T07:15:10.977
CVE-1999-0241,"Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",1995-11-01T05:00:00.000,2022-08-17T07:15:14.713
CVE-1999-0080,"Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",1995-11-30T05:00:00.000,2022-08-17T06:15:09.930
CVE-1999-0123,Race condition in Linux mailx command allows local users to read user files.,1995-12-01T05:00:00.000,2022-08-17T07:15:11.413
CVE-1999-0316,Buffer overflow in Linux splitvt command gives root access to local users.,1995-12-01T05:00:00.000,2022-08-17T08:15:09.487
CVE-1999-0325,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,1995-12-01T05:00:00.000,2008-09-09T12:34:17.477
CVE-1999-0208,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,1995-12-12T05:00:00.000,2022-08-17T07:15:13.980
CVE-1999-1186,"rxvt, when compiled with the PRINT_PIPE option in various Linux operating systems including Linux Slackware 3.0 and RedHat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.",1996-01-02T05:00:00.000,2016-10-18T02:02:03.637
CVE-1999-1319,Vulnerability in object server program in SGI IRIX 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,1996-01-03T05:00:00.000,2008-09-10T19:01:42.493
CVE-1999-1491,"abuse.console in Red Hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a Trojan horse program.",1996-02-02T05:00:00.000,2016-10-18T02:04:58.870
CVE-1999-0103,"Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",1996-02-08T05:00:00.000,2018-08-22T18:29:00.293
CVE-1999-0143,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,1996-02-21T05:00:00.000,2022-08-17T07:15:12.077
CVE-1999-0233,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,1996-02-25T05:00:00.000,2023-11-07T01:54:56.213
CVE-1999-0142,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,1996-03-01T05:00:00.000,2022-08-17T07:15:12.013
CVE-1999-0067,phf CGI program allows remote command execution through shell metacharacters.,1996-03-20T05:00:00.000,2024-01-26T20:00:52.747
CVE-1999-0141,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,1996-03-29T05:00:00.000,2008-09-09T12:33:49.757
CVE-1999-0070,test-cgi program allows an attacker to list files on the server.,1996-04-01T05:00:00.000,2023-11-07T01:54:54.613
CVE-1999-1103,dxconsole in DEC OSF/1 3.2C and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,1996-04-03T05:00:00.000,2008-09-05T20:18:43.777
CVE-1999-0078,"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",1996-04-18T04:00:00.000,2022-08-17T07:15:10.370
CVE-1999-0019,"Delete or create a file via rpc.statd, due to invalid information.",1996-04-24T04:00:00.000,2008-09-09T12:33:32.460
CVE-1999-1314,"Vulnerability in union file system in FreeBSD 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.",1996-05-17T04:00:00.000,2008-09-10T19:01:42.147
CVE-1999-1313,Manual page reader (man) in FreeBSD 2.2 and earlier allows local users to gain privileges via a sequence of commands.,1996-05-23T04:00:00.000,2017-12-19T02:29:07.737
CVE-1999-0522,The permissions for a system-critical NIS+ table (e.g. passwd) are inappropriate.,1996-05-28T04:00:00.000,2022-08-17T08:15:13.867
CVE-1999-0509,"Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",1996-05-29T04:00:00.000,2022-08-17T06:15:15.057
CVE-1999-1205,"nettune in HP-UX 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.",1996-06-07T04:00:00.000,2018-05-03T01:29:05.083
CVE-1999-1253,"Vulnerability in a kernel error handling routine in SCO OpenServer 5.0.2 and earlier, and SCO Internet FastStart 1.0, allows local users to gain root privileges.",1996-06-07T04:00:00.000,2017-12-19T02:29:05.690
CVE-1999-0138,"The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",1996-06-26T04:00:00.000,2022-08-17T07:15:11.853
CVE-1999-0175,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,1996-07-01T04:00:00.000,2022-08-17T07:15:13.210
CVE-1999-0022,"Local user gains root privileges via buffer overflow in rdist, via expstr() function.",1996-07-03T04:00:00.000,2024-08-01T20:35:03.600
CVE-1999-0137,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,1996-07-09T04:00:00.000,2022-08-17T07:15:11.803
CVE-1999-1301,"A design flaw in the Z-Modem protocol allows the remote sender of a file to execute arbitrary programs on the client, as implemented in rz in the rzsz module of FreeBSD before 2.1.5, and possibly other programs.",1996-07-16T04:00:00.000,2008-09-05T20:19:11.960
CVE-1999-1572,"cpio on FreeBSD 2.1.0, Debian GNU/Linux 3.0, and possibly other operating systems, uses a 0 umask when creating files using the -O (archive) or -F options, which creates the files with mode 0666 and allows local users to read or overwrite those files.",1996-07-16T04:00:00.000,2017-10-19T01:29:00.470
